Acquisitions ID,Acquired Company,Acquiring Company,Year of acquisition announcement,Deal announced on,Price,Status,Terms,Acquisition Profile,News,News Link
Adobe Systems acquired EchoSign in 2011,EchoSign,Adobe,2011,18/07/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/fd8ee94e4ff5acb7ff7e86a354ae7fd8,Adobe Acquires Electronic Signature Startup EchoSign | TechCrunch,http://techcrunch.com/2011/07/18/adobe-acquires-electronic-signature-startup-echosign/
Adobe Systems acquired Efficient Frontier in 2011,Efficient Frontier,Adobe,2011,30/11/2011,"$400,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/b4359332f1de0ab3c32f6646b005c12c,Adobe Acquires Efficient Frontier To Boost Its Digital Marketing Solutions | TechCrunch,http://techcrunch.com/2011/11/30/adobe-acquires-efficient-frontier-to-boost-its-digital-marketing-solutions/
Adobe Systems acquired Emerald City Software in 1990,Emerald City Software,Adobe,1990,19/03/1990,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/78a8b34d7440070d4a1ec9d9d0e2a3c0,Adobe Systems acquired Emerald City Software,http://www.alacrastore.com/storecontent/Thomson_M&A/Adobe_Systems_Inc_acquires_Emerald_City_Software-162639020
Adobe Systems acquired Fotiva in 2001,Fotiva,Adobe,2001,5/12/2001,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/1e4d8fd887f3bf9afabb167460fa068b,Adobe Systems acquired Fotiva,http://www.alacrastore.com/storecontent/Thomson_M&A/Adobe_Systems_Inc_acquires_Fotiva_Inc-1250063020
Adobe Systems acquired Frame Technology in 1995,Frame Technology,Adobe,1995,30/10/1995,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/d0ec9a29c122f18f1f6d9a80910f89c9,Adobe Systems acquired Frame Technology,http://www.alacrastore.com/storecontent/Thomson_M&A/Adobe_Systems_Inc_acquires_Frame_Technology_Corp-475603020
Adobe Systems acquired GoLive Systems in 1999,GoLive Systems,Adobe,1999,4/01/1999,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/99dccfb3ab733b40f9c0eab714b7c628,Adobe Systems acquired GoLive Systems,http://www.alacrastore.com/storecontent/Thomson_M&A/Adobe_Systems_Inc_acquires_GoLive_Systems_Inc-830160020
Adobe Systems acquired GoodBarry in 2009,GoodBarry,Adobe,2009,31/08/2009,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/7ae839483983e40660b9a4cb379c5225,Adobe Buys Business Catalyst / GoodBarry | TechCrunch,http://techcrunch.com/2009/08/31/adobe-buys-business-catalyst-goodbarry/
Adobe Systems acquired HyWay Ferranti in 1997,HyWay Ferranti,Adobe,1997,5/09/1997,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/988b55bf3862bdaf971dd45e5ab9dfe0,Adobe Systems acquired HyWay Ferranti,http://www.alacrastore.com/storecontent/Thomson_M&A/Adobe_Systems_Inc_acquires_HyWay_Ferranti-693250040
Adobe Systems acquired Ideacodes in 2013,Ideacodes,Adobe,2013,28/05/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/fbd0933e0e7464ae553f253e81f10b85,Adobe Acqui-hires Creative Consultancy Ideacodes Names Co-Founders As Creative Directors Of Creative Cloud | TechCrunch,http://techcrunch.com/2013/05/28/adobe-acquires-creative-consultancy-ideacodes-names-co-founders-as-creative-directors-of-creative-cloud/
Adobe Systems acquired InterAKT in 2006,InterAKT,Adobe,2006,5/09/2006,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/cd5f79072d12423fd5a96cab024630e8,Adobe Systems acquired InterAKT,http://www.alacrastore.com/storecontent/Thomson_M&A/Adobe_Systems_Inc_acquires_InterAKT-1790890040
Adobe Systems acquired IRIDAS in 2011,IRIDAS,Adobe,2011,7/09/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/3a65888f2149e049d807131c5d58a8a7,Adobe Systems acquired IRIDAS,http://www.freshnews.com/news/543838/adobe-acquires-iridas-technology
Adobe Systems acquired Macromedia in 2005,Macromedia,Adobe,2005,3/12/2005,"$3,400,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/5f78550c6573033e8bdc1577cbe424ae,Macromedia - Wikipedia the free encyclopedia,http://en.wikipedia.org/wiki/Macromedia
Adobe Systems acquired Navisware in 2005,Navisware,Adobe,2005,16/12/2005,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/ae86c78fa14dec238b9f4621bef1bc2f,Adobe Systems acquired Navisware,http://www.alacrastore.com/storecontent/Thomson_M&A/Adobe_Systems_Inc_acquires_Navisware-1724617020
Adobe Systems acquired Neolane in 2013,Neolane,Adobe,2013,27/06/2013,"$600,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/8a64c704674e342fd9799714867530b4,Adobe Acquires Conversational Marketing Platform Neolane For $600M In Cash To Bolster Its Marketing Cloud | TechCrunch,http://techcrunch.com/2013/06/27/adobe-acquires-conversational-marketing-platform-neolane-for-600m-in-cash/
Adobe Systems acquired Nitobi Software in 2011,Nitobi Software,Adobe,2011,3/10/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/5715898be2baa4deacd9e23f10dec2a4,Adobe Acquires Developer Of HTML5 Mobile App Framework PhoneGap Nitobi | TechCrunch,http://techcrunch.com/2011/10/03/adobe-acquires-developer-of-html5-mobile-app-framework-phonegap-nitobi/
Adobe Systems acquired OCR Systems in 1992,OCR Systems,Adobe,1992,29/06/1992,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/137f79e19be22900cfd01b10c9ca8917,Adobe Systems acquired OCR Systems,http://www.alacrastore.com/storecontent/Thomson_M&A/Adobe_Systems_Inc_acquires_OCR_Systems_Inc-261876020
Adobe Systems acquired OKYZ in 2004,OKYZ,Adobe,2004,7/12/2004,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/2488d13cf652f35bc6c026c28b36955d,Adobe Systems acquired OKYZ,http://www.alacrastore.com/storecontent/Thomson_M&A/Adobe_Systems_Inc_acquires_OKYZ_SA-1648209040
Adobe Systems acquired Omniture in 2009,Omniture,Adobe,2009,23/10/2009,"$1,800,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/d4718f673f1fea5d41e746fa6e132e70,Adobe Systems acquired Omniture,http://www.cnet.com/news/adobe-to-buy-omniture-for-1-8-billion/
Adobe Systems acquired Photoshop in 1995,Photoshop,Adobe,1995,17/06/1905,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/2125bc9c79b689614f6624bdfffddae0,Adobe Systems acquired Photoshop,http://news.cnet.com/2300-10798_3-10002523.html
Adobe Systems acquired Pixmantec in 2006,Pixmantec,Adobe,2006,26/06/2006,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/39b52ab58c17ea97f231d2bdeee62dbe,Adobe Systems acquired Pixmantec,http://www.alacrastore.com/storecontent/Thomson_M&A/Adobe_Systems_Inc_acquires_Pixmantec_ApS-1771752040
Adobe Systems acquired Sandcastle in 1997,Sandcastle,Adobe,1997,14/03/1997,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/ede0747b160dc89dff034e872ff86b3d,Adobe Systems acquired Sandcastle,http://www.alacrastore.com/storecontent/Thomson_M&A/Adobe_Systems_Inc_acquires_Sandcastle_Inc-672845020
Adobe Systems acquired Scene7 in 2007,Scene7,Adobe,2007,3/05/2007,Undisclosed amount,Undisclosed,Cash,http://www.crunchbase.com/acquisition/8df47bafeccc8db6c9830dc69df1e5a3,"Adobe Acquires Scene7, Adobe To Acquire Hosted Services Innovator","http://mashable.com/2007/05/04/adobe-scene7/, http://web.archive.org/web/20120413144145/http://www.scene7.com/news/2007/20070503.asp"
Adobe Systems acquired Serious Magic in 2006,Serious Magic,Adobe,2006,20/10/2006,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/106cea6f8345e43ae3da70fa0883b372,Adobe acquires Serious Magic to push Flash video,http://venturebeat.com/2006/10/20/adobe-acquires-serious-magic-to-push-flash-video/
Adobe Systems acquired Thumb Labs in 2013,Thumb Labs,Adobe,2013,22/05/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/f5c84df9d521126d99239e4de8257cb6,Adobe Acqui-hires Thumb Labs To Make Mobile Apps For Behance And Its New Creative Cloud | TechCrunch,http://techcrunch.com/2013/05/22/adobe-acqui-hires-thumb-labs-to-make-mobile-apps-for-behance-and-its-new-creative-cloud/
Adobe Systems acquired Trade and Technologies France in 2006,Trade and Technologies France,Adobe,2006,21/04/2006,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/563f7ebc78594e3f6d08563942e9bd01,Adobe Systems acquired Trade and Technologies France,http://designorati.com/articles/t1/graphic-design/793/adobe-acquires-trade-and-technologies-france.php
Adobe Systems acquired Typekit in 2011,Typekit,Adobe,2011,3/10/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/a668a877703ec933bc84a98c81c1d17e,Adobe acquires cloud font site Typekit as part of larger creative cloud service offering,http://venturebeat.com/2011/10/03/adobe-acquires-cloud-font-site-typekit-as-part-of-larger-creative-cloud-service-offering/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Venturebeat_deals+%28VentureBeat+%C2%BB+Deals+%26+More%29
Adobe Systems acquired Virtual Ubiquity in 2007,Virtual Ubiquity,Adobe,2007,30/09/2007,Undisclosed amount,Undisclosed,Cash,http://www.crunchbase.com/acquisition/6b7eb577cade73dcd2eeff15849c0e57,Adobe buys Web word processor Buzzword - CNET News,http://news.cnet.com/Adobe-buys-Web-word-processor-Buzzword/2100-1014_3-6210746.html
Adobe Systems acquired YaWah in 2008,YaWah,Adobe,2008,15/09/2008,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/7b2b9ac4f2610ee69ecb54819ccf9aea,Adobe Scene7 | Adobe Marketing Cloud,http://www.adobe.com/solutions/web-experience-management/scene7.html
Amazon acquired AbeBooks in 2008,AbeBooks,Amazon,2008,1/08/2008,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/3fe40708957758ad1c71840eac917cc1,Amazon To Acquire AbeBooks And With It A Stake In LibraryThing | TechCrunch,http://techcrunch.com/2008/08/01/amazon-to-acquire-abebooks/
Amazon acquired Accept.Com in 1999,Accept.Com,Amazon,1999,11/06/1999,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/4b272ffe7e696c66b6b2d18f1f4c6768,Business | Amazon's Accept.Com Deal Cost About $101.7 Million | Seattle Times Newspaper,http://community.seattletimes.nwsource.com/archive/?date=19990611&slug=2965963
Amazon acquired Alexa in 1999,Alexa,Amazon,1999,1/05/1999,"$250,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/dad2c8ffa97c0017b773f935f62d7a04,E-commerce loves Street: Critical Path plans encore - San Francisco Business Times,http://www.bizjournals.com/sanfrancisco/stories/1999/05/24/newscolumn4.html
Amazon acquired Amie Street in 2010,Amie Street,Amazon,2010,22/09/2010,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/ba8b39950373998d87586a440773a138,Amazon Acquires Amie Street But Not In A Good Way | TechCrunch,http://techcrunch.com/2010/09/08/amazon-acquires-amie-street-but-not-in-a-good-way/
Amazon acquired Audible in 2008,Audible,Amazon,2008,31/01/2008,"$300,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/35d9bdd8ab1314be58fc0c47ec1cf977,Amazon Strengthens Its Digital Hand With $300 Million Purchase of Audible | TechCrunch,http://techcrunch.com/2008/01/31/amazon-strengthens-its-digital-hand-with-300-million-purchase-of-audible/
Amazon acquired Bookpages in 1998,Bookpages,Amazon,1998,15/10/1998,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/0879f9c87e5eb2a036297b8f17524ed0,LEADING INTERNET BOOKSELLER AMAZON.COM ACQUIRES U.K.-BASED INTERNET BOOKSTORE BOOKPAGES LTD. -- April 271998 /PR Newswire UK/,http://www.prnewswire.co.uk/news-releases/leading-internet-bookseller-amazoncom-acquires-uk-based-internet-bookstore-bookpages-ltd-156811605.html
Amazon acquired BookSurge in 2005,BookSurge,Amazon,2005,4/04/2005,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/9727cabe1f2dbfb3bfe2980200ebb062,Amazon Buys On Demand Player BookSurge - InternetNews.,http://www.internetnews.com/ec-news/article.php/3494946/Amazon-Buys-On-Demand-Player-BookSurge.htm
Amazon acquired Brilliance Audio in 2007,Brilliance Audio,Amazon,2007,23/05/2007,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/98f02baf0bd4e400f5a11f444eab7bb3,Amazon acquired Brilliance Audio,http://www.encyclopedia.com/doc/1P1-139775740.html
Amazon acquired BuyVIP in 2010,BuyVIP,Amazon,2010,7/10/2010,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/bcf2ea1e9e86a7fb3d4f9e94f3ae7a08,Amazon Acquires European Fashion Site BuyVIP.com,http://www.ecommercebytes.com/cab/abn/y10/m10/i07/s06
Amazon acquired CDNOW in 2003,CDNOW,Amazon,2003,25/06/1905,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/a5b34cf68d69721dc7af72af1a82cf71,,
Amazon acquired Comixology in 2014,Comixology,Amazon,2014,10/04/2014,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/34c7976ae776e7c66b9a189fe4af499c,Amazon acquired Comixology,http://time.com/58561/comixology/?utm_source=twitterfeed&utm_medium=twitter
Amazon acquired CustomFlix in 2005,CustomFlix,Amazon,2005,8/07/2005,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/1edb2c11053fb4898f79423d6c92bfdf,Hacking NetFlix : Breaking News: Amazon Acquires CustomFlix,http://www.hackingnetflix.com/2005/07/breaking_news_a.html
Amazon acquired Double Helix Games in 2014,Double Helix Games,Amazon,2014,6/02/2014,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/5536a0bf52de15ac287433681e9299de,Amazon Acquires Video Gaming Studio Double Helix Games | TechCrunch,http://techcrunch.com/2014/02/05/amazon-acquires-video-gaming-studio-double-helix-games/
Amazon acquired dpreview in 2007,dpreview,Amazon,2007,1/05/2007,Undisclosed amount,Undisclosed,Cash,http://www.crunchbase.com/acquisition/e4e132249c028975602fc4f13e31de23,,
Amazon acquired Evi in 2013,Evi,Amazon,2013,4//17/2013,"$26,000,000",Complete,Undisclosed,http://www.crunchbase.com/acquisition/45c27237b416778db43a459f59c50fe6,Sources Say Amazon Acquired Siri-Like Evi App For $26M – Is A Smartphone Coming? | TechCrunch,http://techcrunch.com/2013/04/17/sources-say-amazon-acquired-siri-like-evi-app-for-26m-is-a-smartphone-coming/
Amazon acquired Exchange.Com in 1999,Exchange.Com,Amazon,1999,26/04/1999,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/7ac01f67b72bbf9b9742bf90fb0a1fcb,Error,http://multivu.prnewswire.com/cgi-bin/stories.pl?ACCT=104&STORY=/www/story/04-26-1999/0000918988&EDATE=
Amazon acquired Fabric.com in 2008,Fabric.com,Amazon,2008,25/06/2008,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/dbff5978850b64b6f91a477e609d61d9,Amazon Gets Some New Threads Acquires Fabric.com | TechCrunch,http://techcrunch.com/2008/06/25/amazon-gets-some-new-threads-acquires-fabriccom/
Amazon acquired Goodreads in 2013,Goodreads,Amazon,2013,29/03/2013,"$150,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/5f4ea2f112b33bcd999f58e60cbf0d09,Amazon Moves Toward Kindle Social Network with Goodreads - Digits - WSJ,http://blogs.wsj.com/digits/2013/03/29/amazon-moves-toward-kindle-social-network-with-goodreads/
Amazon acquired GoPago in 2013,GoPago,Amazon,2013,16/12/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/984b562828cb354e5b2e139ff864f3a7,Amazon Reportedly Buys Mobile Payments Startup Gopago Working On An ‘Ambitious’ New Project | TechCrunch,http://techcrunch.com/2013/12/16/amazon-reportedly-buys-mobile-payments-startup-gopago-working-on-an-ambitious-new-project/
Amazon acquired IMDB in 1998,IMDB,Amazon,1998,20/06/1905,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/7e47425e0cb7d3896446b9cb825d9442,,
Amazon acquired IVONA Text-To-Speech in 2013,IVONA Text-To-Speech,Amazon,2013,24/01/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/2283c31130a26d161f9a72913c3f1921,Amazon Gets Into Voice Recognition Buys Ivona Software To Compete Against Apple’s Siri | TechCrunch,http://techcrunch.com/2013/01/24/amazon-gets-into-voice-recognition-buys-ivona-software-to-compete-against-apples-siri/
Amazon acquired Kiva Systems in 2012,Kiva Systems,Amazon,2012,19/03/2012,"$775,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/6755ab93f36de582c749103862cdeac6,Amazon buys Kiva Systems for $775M -- prepare for even smarter warehouses,http://venturebeat.com/2012/03/19/amazon-buys-kiva-systems/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Venturebeat_deals+%28VentureBeat+%C2%BB+Deals+%26+More%29
Amazon acquired Lexcycle in 2009,Lexcycle,Amazon,2009,1/04/2009,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/8f0367d1c96f0423cce75458f4da95e2,Amazon Acquires Lexcycle | TechHive,http://www.techhive.com/article/163917/amazon_acquires_lexcycle.html
Amazon acquired Liquavista in 2013,Liquavista,Amazon,2013,13/05/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/c7fe20256cee362400ce203152079880,Amazon acquires Samsung color display unit Liquavista,http://gigaom.com/2013/05/13/amazon-acquires-samsung-color-display-unit-liquavista/
Amazon acquired LOVEFiLM in 2012,LOVEFiLM,Amazon,2012,15/06/2012,"$2,500,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/5139d0ae45c74d54d6dc877af43c6afc,Amazon Acquires LoveFilm The Netflix Of Europe | TechCrunch,http://techcrunch.com/2011/01/20/amazon-acquires-lovefilm-the-netflix-of-europe/
Amazon acquired Mobipocket.com in 2005,Mobipocket.com,Amazon,2005,21/04/2005,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/4b43bf57b8035e2c90babb29f18d25f3,eSecurity Planet: Internet Security for IT Professionals,http://www.esecurityplanet.com
Amazon acquired Pushbutton in 2011,Pushbutton,Amazon,2011,28/07/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/65d5d6486c13e7fdeba713cc56675e29,Amazon acquired Pushbutton,http://paidcontent.org/article/419-amazon-buys-lovefilms-iptv-app-designer-pushbutton/
Amazon acquired Quidsi in 2010,Quidsi,Amazon,2010,8/11/2010,"$545,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/4cb617067dc7fcc756073a5c20fd602d,Confirmed: Amazon Spends $545 Million On Diapers.com Parent Quidsi | TechCrunch,http://techcrunch.com/2010/11/08/confirmed-amazon-spends-545-million-on-diapers-com-parent-quidsi/
Amazon acquired Quorus in 2011,Quorus,Amazon,2011,28/12/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/849909b1cc92f714bae112dd19594862,Amazon acquires the talented team at shopping startup Quorus,http://venturebeat.com/2011/12/28/amazon-quorus-acquisition/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Venturebeat_deals+%28VentureBeat+%C2%BB+Deals+%26+More%29
Amazon acquired Reflexive Entertainment in 2008,Reflexive Entertainment,Amazon,2008,20/10/2008,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/ebbe59d72822b4b64a84dcac666c5ad5,Amazon Snaps Up Video Game Provider Reflexive | TechCrunch,http://techcrunch.com/2008/10/21/amazon-snaps-up-video-game-provider-reflexive/
Amazon acquired Screentech in 2013,Screentech,Amazon,2013,13/05/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/e7d6524cede98db6129376f9260b4ee5,Amazon buys screen tech from Samsung introduces its own currency,http://www.mercurynews.com/business/ci_23233051/amazon-buys-screen-tech-from-samsung-introduces-its?source=rss&cid=dlvr.it
Amazon acquired Shelfari in 2008,Shelfari,Amazon,2008,24/08/2008,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/23c25f7babf8856504c71214bb48c342,Amazon Acquires Shelfari: Moves To Corner Book-Centric Social Networks | TechCrunch,http://techcrunch.com/2008/08/25/amazon-aquires-shelfari-moves-to-corner-social-book-space/
Amazon acquired Shopbop in 2006,Shopbop,Amazon,2006,27/02/2006,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/21526e7672ca96a8c415b014a62280e2,Amazon acquires Madison-based Shopbop (WTN News),http://wtnnews.com/articles/2730/
Amazon acquired SnapTell in 2009,SnapTell,Amazon,2009,16/06/2009,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/0b93a3fd38f0bb804c2208762c2122a0,Image Recognition Startup SnapTell Acquired by Amazon Subsidiary A9.com | TechCrunch,http://techcrunch.com/2009/06/16/image-recognition-startup-snaptell-acquired-by-amazon-subsidiary-a9com/
Amazon acquired TeachStreet in 2012,TeachStreet,Amazon,2012,31/01/2012,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/33666a0b564ea9aca73cad94b4b88fcb,Exclusive: Amazon.com buys TeachStreet - GeekWire,http://www.geekwire.com/2012/exclusive-amazoncom-buys-teachstreet/
Amazon acquired TenMarks Education in 2013,TenMarks Education,Amazon,2013,1/10/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/3f458cd1a60ae7e5db8129300045164f,,
Amazon acquired TextPayMe in 2006,TextPayMe,Amazon,2006,28/06/1905,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/6a387c3d81a66c7f7590f28ec3034fe6,Amazon acquired TextPayMe,http://www.infosources.org/what_is/Amazon_Payments.html
Amazon acquired The Book Depository in 2011,The Book Depository,Amazon,2011,4/07/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/41659759292f8a1777353c4dc0094550,Amazon Acquires UK-Based Online Book Retailer The Book Depository For International Expansion | TechCrunch,http://techcrunch.com/2011/07/04/amazon-acquires-uk-based-online-book-retailer-the-book-depository-for-international-expansion/
Amazon acquired Touchco in 2010,Touchco,Amazon,2010,3/02/2010,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/954ba8ab28cbcb615a931bc2420eceee,Amazon acquired Touchco,http://www.nytimes.com/2010/02/04/technology/04amazon.html
Amazon acquired Twitch in 2014,Twitch,Amazon,2014,25/08/2014,"$970,000,000",Pending,Cash,http://www.crunchbase.com/acquisition/b3a7a87cff3f357a3928b9d51ace822d,Amazon’s Twitch Acquisition Is Official | TechCrunch,http://techcrunch.com/2014/08/25/amazon-will-officially-acquire-twitch/
